Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
USA,02-12-2014,Barack Obama,"
Remarks by the President on Research for Potential Ebola Vaccines",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/12/02/remarks-president-research-potential-ebola-vaccines,UPSET,DEVELOPMENT
USA,24-09-2014,Barack Obama,"
Remarks by President Obama in Address to the United Nations General Assembly",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/09/24/remarks-president-obama-address-united-nations-general-assembly,OPTIMISM,INTERNATIONAL AFFAIRS
USA,20-09-2016,Barack Obama,"
Remarks by President Obama after Bilateral meeting with President Muhammadu Buhari of Nigeria",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/09/20/remarks-president-obama-after-bilateral-meeting-president-muhammadu,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,12-12-2002 00:00,Vladimir Putin,Speech at a Reception on Constitution Day,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21812,JOY,NATIONALISM
USA,11-03-2021 00:00,Joe Biden,Remarks by President Biden on the Anniversary of the COVID-⁠19 Shutdown,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/03/11/remarks-by-president-biden-on-the-anniversary-of-the-covid-19-shutdown/,OPTIMISM,DEVELOPMENT
USA,24-02-2019 00:00,Donald Trump,Remarks by President Trump at 2019 Governors’ Ball,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-2019-governors-ball/,NEUTRAL,OTHERS
China,18-06-2014 00:00,Li Keqiang,Inclusive Development: A Better World for All,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1167647.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
United Kingdom,25-Mar-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 25 March 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-25-march-2020,OPTIMISM,DEVELOPMENT
USA,26-04-2014,Barack Obama,"
Weekly Address: Congress Needs to Act on Minimum Wage",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/04/26/weekly-address-congress-needs-act-minimum-wage,OPTIMISM,DEVELOPMENT
China,20-09-2013 00:00,H.E. Wang Yi,Toward a New Model of Major-Country Relations Between China and the United States,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1078768.shtml,OPTIMISM,DEVELOPMENT
USA,28-10-2021 00:00,Joe Biden,Remarks by President Biden Announcing the Framework for His Build Back Better Agenda and Bipartisan Infrastructure Bill,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/10/28/remarks-by-president-biden-announcing-the-framework-for-his-build-back-better-agenda-and-bipartisan-infrastructure-bill/,OPTIMISM,DEVELOPMENT
USA,20-11-2017 00:00,Donald Trump,Remarks by President Trump Before Cabinet Meeting,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-cabinet-meeting-2/,OPTIMISM,DEVELOPMENT
United Kingdom,01-Sep-11,David Cameron,PM's press conference in Paris,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pms-press-conference-in-paris--2,JOY,INTERNATIONAL AFFAIRS
China,20-11-2020 00:00,H.E. Xi Jinping,"Working Together for an Asia-Pacific Community with
A Shared Future",President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1834230.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,01-04-2021 00:00,Joe Biden,Remarks by President Biden in a Faith and Community Engagement Call,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/01/remarks-by-president-biden-in-a-faith-and-community-engagement-call/,OPTIMISM,OTHERS
United Kingdom,09-Sep-16,Theresa May,"Britain, the great meritocracy: Prime Minister's speech",,,,,
,,,,,,,,
Prime Minister,Theresa May,https://www.gov.uk/government/speeches/britain-the-great-meritocracy-prime-ministers-speech,NEUTRAL,,,,,
Russia,24-03-2005,Vladimir Putin,Introductory Remarks at a Meeting with Russian Business Community Organisation Representatives,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22877,OPTIMISM,DEVELOPMENT
USA,24-09-2015,Barack Obama,"
Remarks by the President at Presentation of Award to HHS Personnel for Contribution to Ebola Containment Efforts",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/09/24/remarks-president-presentation-award-hhs-personnel-contribution-ebola,JOY,DEVELOPMENT
USA,24-11-2021 00:00,Joe Biden,Statement by President Joe Biden on the Occasion of International Day for the Elimination of Violence Against Women,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/24/statement-by-president-joe-biden-on-the-occasion-of-international-day-for-the-elimination-of-violence-against-women/,OPTIMISM,OTHERS
USA,03-05-2021 00:00,Joe Biden,Statement by President Joe Biden on the Occasion of World Press Freedom Day,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/03/statement-by-president-joe-biden-on-the-occasion-of-world-press-freedom-day/,JOY,OTHERS
Russia,30-05-2002,Vladimir Putin,"Introductory Remarks at a Meeting with the Commission to Prepare Proposals on Delimitation of Jurisdictions and Powers Between Federal, Regional and Local Government Bodies",President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21616,OPTIMISM,DEVELOPMENT
USA,16-11-2021 00:00,Joe Biden,Remarks by President Biden on the Bipartisan Infrastructure Law,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/11/16/remarks-by-president-biden-on-the-bipartisan-infrastructure-law/,NEUTRAL,DEVELOPMENT
USA,06-05-2021 00:00,Joe Biden,Letter to the Speaker of the House of Representatives and the President of the Senate on the Continuation of the National Emergency with Respect to the Actions of the Government of Syria,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/06/letter-to-the-speaker-of-the-house-of-representatives-and-the-president-of-the-senate-on-the-continuation-of-the-national-emergency-with-respect-to-the-actions-of-the-government-of-syria/,UPSET,INTERNATIONAL AFFAIRS
USA,11-01-2014,Barack Obama,"
Weekly Address: Ensuring 2014 is a Year of Action to Grow the Economy",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/01/11/weekly-address-ensuring-2014-year-action-grow-economy,JOY,DEVELOPMENT
USA,08-09-2016,Barack Obama,Remarks by President Obama Before U.S.-ASEAN Meeting,President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/09/08/remarks-president-obama-us-asean-meeting,OPTIMISM,INTERNATIONAL AFFAIRS
China,26-04-2019 00:00,H.E. Xi Jinping,Toast by H.E. Xi Jinping President of the People's Republic of China At the Welcoming Banquet of The Second Belt and Road Forum for International Cooperation,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1659453.shtml,OPTIMISM,NATIONALISM
China,07-02-2021 00:00,H.E. Wang Yi,"Lunar New Year Message from H.E. Wang Yi
State Councilor and Minister of Foreign Affairs of
The People's Republic of China",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1852119.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
China,12-06-2019 00:00,H.E. Xi Jinping,"Working Together for a Brighter Future of
China-Tajikistan Friendship",President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1671552.shtml,JOY,INTERNATIONAL AFFAIRS
China,16-10-2020 00:00,H.E. Wang Yi,Two Decades of A Shared Journey toward New Heights in the New Era,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1824471.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
United Kingdom,23-Jun-20,Boris Johnson,Prime Minister's statement to the House on COVID-19: 23 June 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-to-the-house-on-covid-19-23-june-2020,OPTIMISM,DEVELOPMENT
USA,08-11-2013,Barack Obama,"
Remarks by the President on Veterans Day",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/11/08/remarks-president-veterans-day,JOY,NATIONALISM
USA,10-07-2016,Barack Obama,"
Remarks By President Obama to Troops at Naval Station Rota",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/07/10/remarks-president-obama-troops-naval-station-rota,JOY,NATIONALISM
USA,01-06-2020 00:00,Donald Trump,Statement by the President,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/statement-by-the-president-39/,UPSET,EXTREMISM
USA,20-04-2021 00:00,Joe Biden,Remarks by President Biden on the Verdict in the Derek Chauvin Trial for the Death of George Floyd,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/20/remarks-by-president-biden-on-the-verdict-in-the-derek-chauvin-trial-for-the-death-of-george-floyd/,UPSET,OTHERS
USA,31-03-2021 00:00,Joe Biden,Remarks by President Biden on the American Jobs Plan,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/03/31/remarks-by-president-biden-on-the-american-jobs-plan/,OPTIMISM,DEVELOPMENT
Russia,05-09-2002 00:00,Vladimir Putin,Speech at Meeting with Veterans Marking the 57th Anniversary of Victory in the Great Patriotic War,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21588,UPSET,NATIONALISM
USA,15-12-2017 00:00,Donald Trump,Remarks by President Trump at FBI National Academy Graduation Ceremony,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-fbi-national-academy-graduation-ceremony/,JOY,NATIONALISM
China,22-01-2014 00:00,H.E. Wang Yi,Wang Yi:Seek Common Ground While Shelving Differences And Meet Each Other Half Way To Find a Political Settlement of the Syrian Issue,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1122045.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,24-10-2006,Vladimir Putin,Opening Address at the World Congress of Russians Abroad,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23861,OPTIMISM,OTHERS
United Kingdom,30-Dec-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 30 December 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-30-december-2020,OPTIMISM,DEVELOPMENT
China,26-09-2015 00:00,Xi Jinping,Towards Win-win Partnership for Sustainable Development,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1306508.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
China,15-11-2015 00:00,Xi Jinping,Expand Opportunities and Meet Challenges Together,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1315059.shtml,OPTIMISM,DEVELOPMENT
China,14-04-2009 00:00,Hu Jintao,Let Us Join Hands and Tide over Difficulties Together,President,Hu Jintao,https://www.fmprc.gov.cn/ce/cgvienna/eng/xw/t557293.htm,OPTIMISM,INTERNATIONAL AFFAIRS
United Kingdom,14-Nov-16,Theresa May,PM speech to the Lord Mayor's Banquet: 14 November 2016,Prime Minister,Theresa May,https://www.gov.uk/government/speeches/pm-speech-to-the-lord-mayors-banquet-14-november-2016,NEUTRAL,INTERNATIONAL AFFAIRS
USA,26-05-2021 00:00,Joe Biden,Statement by President Joe Biden on the Passing of Senator John Warner,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/26/statement-by-president-joe-biden-on-the-passing-of-senator-john-warner/,UPSET,OTHERS
USA,05-11-2020 00:00,Donald Trump,Remarks by President Trump on the Election,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-election/,UPSET,OTHERS
USA,16-11-2021 00:00,Joe Biden,A Message to the Senate on the Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/16/a-message-to-the-senate-on-the-amendment-to-the-montreal-protocol-on-substances-that-deplete-the-ozone-layer/,NEUTRAL,DEVELOPMENT
USA,15-12-2015,Barack Obama,"
Remarks by the President at Naturalization Ceremony",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/12/15/remarks-president-naturalization-ceremony,JOY,NATIONALISM
Russia,28-08-2002,Vladimir Putin,Opening Remarks at a Meeting with the Command of the Pacific Fleet,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21699,NEUTRAL,DEVELOPMENT
China,22-11-2020 00:00,H.E. Xi Jinping,Remarks by President Xi Jinping at Leaders' Side Event on Safeguarding Planet of G20 Riyadh Summit,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1834461.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,02-11-2011 00:00,Dmitry Medvedev,Meeting of the State Council Presidium on measures to strengthen interethnic harmony in Russian society,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/10312,NEUTRAL,OTHERS
Russia,23-09-2010,Dmitry Medvedev,Opening remarks at meeting on law enforcement issues,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/8996,NEUTRAL,OTHERS
USA,01-07-2021 00:00,Joe Biden,"Statement by President Joseph Biden on the Women, Peace, and Security Report",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/01/statement-by-president-joseph-biden-on-the-women-peace-and-security-report/,NEUTRAL,OTHERS
China,21-04-2015 00:00,Xi Jinping,Building a China-Pakistan Community of Shared Destiny to Pursue Closer Win-Win Cooperation,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1257158.shtml,JOY,INTERNATIONAL AFFAIRS
USA,24-06-2021 00:00,Joe Biden,Statement by President Joe Biden on the Passing of Former President Benigno Aquino III of the Philippines,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/24/statement-by-president-joe-biden-on-the-passing-of-former-president-benigno-aquino-iii-of-the-philippines/,UPSET,OTHERS
United Kingdom,04-Feb-20,Boris Johnson,PM speech at COP 26 Launch: 4 February 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-speech-at-cop-26-launch-4-february-2020,OPTIMISM,DEVELOPMENT
United Kingdom,20-Nov-16,Theresa May,The new role for business in a fairer Britain: article by Theresa May,Prime Minister,Theresa May,https://www.gov.uk/government/speeches/the-new-role-for-business-in-a-fairer-britain-article-by-theresa-may,OPTIMISM,DEVELOPMENT
USA,21-02-2015,Barack Obama,"
Weekly Address: We Should Make Sure the Future Is Written by Us",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/02/21/weekly-address-we-should-make-sure-future-written-us,NEUTRAL,DEVELOPMENT
USA,26-01-2021 00:00,Joe Biden,Remarks by President Biden on the Fight to Contain the COVID-⁠19 Pandemic,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/26/remarks-by-president-biden-on-the-fight-to-contain-the-covid-19-pandemic/,OPTIMISM,DEVELOPMENT
USA,27-01-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. on International Holocaust Remembrance Day",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/01/27/statement-by-president-joseph-r-biden-jr-on-international-holocaust-remembrance-day/,UPSET,INTERNATIONAL AFFAIRS
USA,07-02-2021 00:00,Joe Biden,Statement of President Joe Biden on the Passing of Former Secretary George Shultz,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/02/07/statement-of-president-joe-biden-on-the-passing-of-former-secretary-george-shultz/,UPSET,OTHERS
China,16-12-2019 00:00,H.E. Wang Yi,"Enhancing Mutual Trust and Cooperation
To Embrace an Even Better Future of China-EU Relations",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1725036.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,06-07-2016,Barack Obama,"
Statement by the President on Afghanistan",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/07/06/statement-president-afghanistan,NEUTRAL,INTERNATIONAL AFFAIRS
China,08-09-2020 00:00,H.E. Wang Yi,"Upholding Multilateralism, Fairness and Justice and Promoting Mutually Beneficial Cooperation",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1812950.shtml,NEUTRAL,DEVELOPMENT
Russia,08-04-2010 00:00,Dmitry Medvedev,Speech at expanded Security Council meeting on fire safety measures for strategic facilities,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/8570,NEUTRAL,OTHERS
Russia,05-08-2015 00:00,Vladimir Putin,Meeting of the CIS heads of state,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/49434,NEUTRAL,OTHERS
USA,12-11-2021 00:00,Joe Biden,Statement from President Joe Biden Announcing His Intention to Nominate Dr. Robert Califf for Commissioner of Food and Drugs,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/12/statement-from-president-joe-biden-announcing-his-intention-to-nominate-dr-robert-califf-for-commissioner-of-food-and-drugs/,JOY,OTHERS
USA,23-02-2016,Barack Obama,"
Remarks by the President on Plan to Close the Prison at Guantanamo Bay",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/02/23/remarks-president-plan-close-prison-guantanamo-bay,NEUTRAL,OTHERS
China,15-05-2020 00:00,H.E. Wang Yi,Message of Congratulations from H.E. Wang Yi State Councilor and Minister of Foreign Affairs of The People's Republic of China to the Reopening of the Embassy of the People's Republic of China in the Republic of Kiribati,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1779524.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,27-06-2015,Barack Obama,"
WEEKLY ADDRESS: The Affordable Care Act is Here to Stay",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/06/27/weekly-address-affordable-care-act-here-stay,OPTIMISM,DEVELOPMENT
USA,20-06-2016,Barack Obama,"
Remarks by the President at the 2016 SelectUSA Investment Summit",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/06/20/remarks-president-2016-selectusa-investment-summit,OPTIMISM,DEVELOPMENT
Russia,08-03-2005 00:00,Vladimir Putin,Introductory Remarks at a Meeting with Representatives of the Presidential Consultative Bodies on the Formation of the Public Council,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23108,NEUTRAL,OTHERS
Russia,13-12-2001,Vladimir Putin,A Statement Regarding the Decision of the Administration of the United States to Withdraw from the Antiballistic Missile Treaty of 1972,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21444,UPSET,INTERNATIONAL AFFAIRS
Russia,05-11-2001 00:00,Vladimir Putin,Introductory Remarks at a Meeting of the Security Council on the Social Problems of Servicement and their Families,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21235,NEUTRAL,OTHERS
USA,25-02-2014,Barack Obama,"
Remarks by the President on Manufacturing Innovation Institutes",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/02/25/remarks-president-manufacturing-innovation-institutes,NEUTRAL,DEVELOPMENT
USA,09-05-2018 00:00,Donald Trump,Remarks by President Trump at the Celebration of Military Mothers and Spouses Event,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-celebration-military-mothers-spouses-event/,JOY,NATIONALISM
USA,25-03-2015,Barack Obama,"
Remarks by the President Marking the Fifth Anniversary of the Affordable Care Act",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/03/25/remarks-president-marking-fifth-anniversary-affordable-care-act,JOY,DEVELOPMENT
Russia,15-11-2015,Vladimir Putin,Informal meeting of BRICS leaders,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/50689,NEUTRAL,DEVELOPMENT
China,26-11-2013 00:00,Li Keqiang,Greetings Across Rivers and Mountains,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1103945.shtml,NEUTRAL,DEVELOPMENT
Russia,31-01-2003,Vladimir Putin,Speech at an Enlarged Meeting of the Federal Security Service Board,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21854,NEUTRAL,OTHERS
USA,07-07-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. on the Assassination of President Jovenel Moïse",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/07/statement-by-president-joseph-r-biden-jr-on-the-assassination-of-president-jovenel-moise/,UPSET,INTERNATIONAL AFFAIRS
Russia,18-12-2018,Vladimir Putin,Defence Ministry Board meeting,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/59431,JOY,INTERNATIONAL AFFAIRS
United Kingdom,11-Feb-20,Boris Johnson,PM statement on transport infrastructure: 11 February 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-on-transport-infrastructure-11-february-2020,OPTIMISM,DEVELOPMENT
USA,27-11-2014,Barack Obama,"
Weekly Address: Happy Thanksgiving from the Obama Family",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/11/27/weekly-address-happy-thanksgiving-obama-family,NEUTRAL,OTHERS
United Kingdom,19-Sep-10,David Cameron,Prime Minister's speech to Pope Benedict XVI,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/prime-ministers-speech-to-pope-benedict-xvi,JOY,OTHERS
China,22-11-2015 00:00,Li Keqiang,Remarks by H.E. Li Keqiang Premier of the State Council of the People's Republic of China At the 10th East Asia Summit,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1317927.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,25-02-2018 00:00,Donald Trump,Remarks by President Trump at the Governors’ Ball,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-governors-ball/,OPTIMISM,DEVELOPMENT
USA,24-05-2016,Barack Obama,"
Remarks by President Obama in Address to the People of Vietnam",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/05/24/remarks-president-obama-address-people-vietnam,NEUTRAL,INTERNATIONAL AFFAIRS
USA,31-05-2013,Barack Obama,"
Remarks by the President on College Affordability",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/05/31/remarks-president-college-affordability,JOY,DEVELOPMENT
USA,19-12-2019 00:00,Donald Trump,Remarks by President Trump at the White House Mental Health Summit,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-white-house-mental-health-summit/,OPTIMISM,DEVELOPMENT
USA,16-09-2013,Barack Obama,"
Remarks by the President at the Five-Year Anniversary of the Financial Crisis",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/09/16/remarks-president-five-year-anniversary-financial-crisis,NEUTRAL,DEVELOPMENT
USA,17-10-2015,Barack Obama,"
WEEKLY ADDRESS: Working for Meaningful Criminal Justice Reform",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/10/17/weekly-address-working-meaningful-criminal-justice-reform,OPTIMISM,OTHERS
USA,05-07-2020 00:00,Donald Trump,Remarks by President Trump at Spirit of America Showcase,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-spirit-america-showcase/,OPTIMISM,DEVELOPMENT
China,11-11-2014 00:00,Xi Jinping,Closing Remarks by H.E. Xi Jinping President of the People's Republic of China At the 22nd APEC Economic Leaders' Meeting At the 22nd APEC Economic Leaders' Meeting,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1210451.shtml,NEUTRAL,DEVELOPMENT
United Kingdom,08-Jun-20,Boris Johnson,Prime Minister message on Black Lives Matter,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-minister-message-on-black-lives-matter,UPSET,OTHERS
Russia,01-11-2000 00:00,Vladimir Putin,Speech at gala function marking the second millennium of Christ’s birth,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24116,JOY,OTHERS
USA,23-09-2013,Barack Obama,"
Remarks by President Obama at Civil Society Roundtable",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/09/23/remarks-president-obama-civil-society-roundtable,NEUTRAL,DEVELOPMENT
USA,25-07-2019 00:00,Donald Trump,Remarks by President Trump at a Full Honors Welcome Ceremony for the Secretary of Defense,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-full-honors-welcome-ceremony-secretary-defense/,JOY,NATIONALISM
Russia,05-09-2017 00:00,Vladimir Putin,Military parade on Red Square,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/54467,JOY,NATIONALISM
Russia,22-01-2001,Vladimir Putin,Introductory Remarks at a Cabinet Meeting,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24352,OPTIMISM,OTHERS
Russia,31-01-2001,Vladimir Putin,Opening Remarks at a Meeting with New Federation Council Members,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24353,NEUTRAL,DEVELOPMENT
Russia,05-09-2005 00:00,Vladimir Putin,Speech at the Military Parade in Honour of the 60th Anniversary of Victory in the Great Patriotic War,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22959,JOY,NATIONALISM
Russia,18-09-2008,Dmitry Medvedev,Speech at the Ceremony for the Presentation of Foreign Ambassadors’ Letters of Credentials,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/1453,NEUTRAL,INTERNATIONAL AFFAIRS
USA,23-04-2021 00:00,Joe Biden,Remarks by President Biden at the Virtual Leaders Summit on Climate Session 5: The Economic Opportunities of Climate Action,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/23/remarks-by-president-biden-at-the-virtual-leaders-summit-on-climate-session-5-the-economic-opportunities-of-climate-action/,OPTIMISM,DEVELOPMENT
Russia,22-02-2011,Dmitry Medvedev,Dmitry Medvedev held a meeting of the National Anti-Terrorism Committee in Vladikavkaz,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/10408,UPSET,EXTREMISM
USA,12-03-2021 00:00,Joe Biden,Remarks by President Biden on the American Rescue Plan,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/03/12/remarks-by-president-biden-on-the-american-rescue-plan-2/,JOY,DEVELOPMENT
USA,20-10-2021 00:00,Joe Biden,Statement by President Joe Biden on Protecting the Sacred Right to Vote,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/10/20/statement-by-president-joe-biden-on-protecting-the-sacred-right-to-vote/,NEUTRAL,OTHERS
USA,02-06-2021 00:00,Joe Biden,"Statement from President Joseph R. Biden, Jr. on the Election of Isaac Herzog as the 11th President of the State of Israel",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/02/statement-from-president-joseph-r-biden-jr-on-the-election-of-isaac-herzog-as-the-11th-president-of-the-state-of-israel/,JOY,INTERNATIONAL AFFAIRS
